Spanish,English
de,of
la,the
que,that
el,he
en,in
y,and
a,to
los,the
del,of the
las,the
por,by
no,No
una,a
su,his
para,for
es,is
lo,it
más,further
o,either
pero,but
sus,their
le,you
ha,ha
me,me
si,Yeah
sin,without
sobre,about
este,this
ya,already
entre,between
cuando,when
todo,all
esta,this
ser,be
son,are
dos,two
también,also
fue,was
había,there was
era,was
muy,very
años,years
hasta,until
desde,from
está,this
mi,my
porque,because
qué,that
sólo,only
han,they have
yo,I
hay,there is
vez,time
todos,all
así,So
nos,us
ni,neither
parte,part
él,he
uno,one
bien,good
tiempo,time
mismo,same
ese,that
ahora,now
cada,each
e,and
vida,life
otro,other
después,after
te,tea
otros,others
aunque,although
esa,that
eso,that
hace,does
otra,other
gobierno,government
día,day
tanto,so much
ella,she
tres,three
sí,Yeah
dijo,said
sido,been
gran,great
país,country
según,according to
menos,less
